"/**","/**"
" * Copyright © Wubinworks. All rights reserved."," * 著作権 © Wubinworks。 Wubinworksは本著作物に対するすべての権利を留保する"
" * See COPYING.txt for license details."," * 使用許諾(ライセンス)については、COPYING.txtを参照してください。"
" */"," */"
"###MENU###","",module,Wubinworks_InjectHead
"Magento Admin","Magento管理者",module,Wubinworks_InjectHead
"&lt;head&gt;&#xA0;Content","&lt;head&gt;コンテンツ",module,Wubinworks_InjectHead
"Head Content Manager","Headコンテンツマネージャ",module,Wubinworks_InjectHead
"Advanced Mass Action","高度な一括操作",module,Wubinworks_InjectHead
"Configuration","設定",module,Wubinworks_InjectHead
"Settings","設定",module,Wubinworks_InjectHead
"###CONTROLLER###","",module,Wubinworks_InjectHead
"Rule","ルール",module,Wubinworks_InjectHead
"Edit Rule","ルール編集",module,Wubinworks_InjectHead
"New Rule","新規ルール",module,Wubinworks_InjectHead
"This Rule no longer exists.","このルールはもう存在しません",module,Wubinworks_InjectHead
"You saved the Rule","ルール保存成功",module,Wubinworks_InjectHead
"This rule was failed to save for unknown reasons, please check the exception log","不明な原因で、保存に失敗しました。Excepitionログをご検証ください",module,Wubinworks_InjectHead
"You successfully deleted the rule","ルール削除成功",module,Wubinworks_InjectHead
"We can't find a rule to delete","指定のルールは見つかりません",module,Wubinworks_InjectHead
"Head Content Advanced Mass Action","Headコンテンツルールの高度な一括操作",module,Wubinworks_InjectHead
"Head Content","Headコンテンツ",module,Wubinworks_InjectHead
"This rule no longer exists","このルールはもう存在しません",module,Wubinworks_InjectHead
"Something went wrong while saving the rule","不明な原因で、保存に失敗しました",module,Wubinworks_InjectHead
"Rule "%1" duplicated %2 time(s) successfully","ルール%1が%2回複製されました",module,Wubinworks_InjectHead
"Parameters Missing or Incorrect","パラメータが不足か間違っています",module,Wubinworks_InjectHead
"Please select at least one rule","最低一つのルールを選択してください",module,Wubinworks_InjectHead
"###BUTTON###","",module,Wubinworks_InjectHead
"Add New Rule","新規ルール作成",module,Wubinworks_InjectHead
"Cache Management","キャッシュ管理",module,Wubinworks_InjectHead
"Save","保存",module,Wubinworks_InjectHead
"Save and Continue Edit","保存＆編集を続ける",module,Wubinworks_InjectHead
"Back","戻る",module,Wubinworks_InjectHead
"Reset","リセット",module,Wubinworks_InjectHead
"Edit","編集",module,Wubinworks_InjectHead
"Delete","削除",module,Wubinworks_InjectHead
"Are you sure you want to do this?","本当に実行してもよろしいでしょうか？",module,Wubinworks_InjectHead
"###TEMPLATES&BLOCK###","",module,Wubinworks_InjectHead
"URI pattern Regular Expression Quick Tips","URIパターン用正規表現のヒント",module,Wubinworks_InjectHead
"Be aware of <a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">Store Code settings</a>. Below examples assume this setting is disabled. Include your store code in regex if this setting is enabled","<a class=""wubinworks-internal-link"" href=""%1"" target=""_blank"">ストアコード設定</a>にご注意❗️以下の例はストアコード設定がオフと仮定します。ストアコード設定がオンでしたら、正規表現にストアコードも入れてください",module,Wubinworks_InjectHead
"Campaign products","キャンペーン用商品",module,Wubinworks_InjectHead
"Check membership","メンバーシップ判定",module,Wubinworks_InjectHead
"Match checkout page","チェックアウトページを特定",module,Wubinworks_InjectHead
"When do I need to clear cache?","キャッシュクリアが必要な時は？",module,Wubinworks_InjectHead
"Modifying the date time setting closer to current time","設定した時刻を繰り上げた後",module,Wubinworks_InjectHead
"Rules may take effect only after a Cache Clear, depending on their condition settings","設定したルールの条件によって、反映には、キャッシュクリアを必要とする場合があります",module,Wubinworks_InjectHead
"More details","詳細",module,Wubinworks_InjectHead
"More help","詳細なヘルプ",module,Wubinworks_InjectHead
"Project on Github","Github上の本プロジェクト",module,Wubinworks_InjectHead
"Extension Version","エクステンションバージョン",module,Wubinworks_InjectHead
"Magento Version","Magentoバージョン",module,Wubinworks_InjectHead
"DB System Timezone","データベースシステムタイムゾーン",module,Wubinworks_InjectHead
"DB Timezone","データベースタイムゾーン",module,Wubinworks_InjectHead
"Content Example","コンテンツの例",module,Wubinworks_InjectHead
"WARNING: Magento Version %1 is not compatible with Wubinworks_InjectHead. Main functions have been disabled automatically","警告: Magentoバージョン %1 はWubinworks_InjectHeadの動作対象外です。主要機能は自動的に無効化されています",module,Wubinworks_InjectHead
"More details <a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">here</a>","詳しくは<a class=""wubinworks-external-link"" href=""%1"" target=""_blank"" rel=""noopener noreferrer"">こちら</a>",module,Wubinworks_InjectHead
"###UI###","",module,Wubinworks_InjectHead
"General Information","全般",module,Wubinworks_InjectHead
"General","全般",module,Wubinworks_InjectHead
"Match Mode","マッチング方法",module,Wubinworks_InjectHead
"Match URI in Regular Expression","正規表現でURIをマッチ",module,Wubinworks_InjectHead
"Match Full Action Name","Full Action Nameでマッチ",module,Wubinworks_InjectHead
"Reserved","保留中",module,Wubinworks_InjectHead
"Name","名前",module,Wubinworks_InjectHead
"Store View","ストアビュー",module,Wubinworks_InjectHead
"What is this?","これは❓",module,Wubinworks_InjectHead
"Customer Groups","顧客グループ",module,Wubinworks_InjectHead
"ALL Customer Groups","すべての顧客グループ",module,Wubinworks_InjectHead
"URI Pattern","URIパターン",module,Wubinworks_InjectHead
"Start DateTime","開始時刻",module,Wubinworks_InjectHead
"End DateTime","終了時刻",module,Wubinworks_InjectHead
"Content","コンテンツ",module,Wubinworks_InjectHead
"Contents","コンテンツ",module,Wubinworks_InjectHead
"Update At","最終更新時刻",module,Wubinworks_InjectHead
"Action","操作",module,Wubinworks_InjectHead
"Actions","操作",module,Wubinworks_InjectHead
"Select","選択",module,Wubinworks_InjectHead
"Select...","選択...",module,Wubinworks_InjectHead
"Duplicate","複製",module,Wubinworks_InjectHead
"We couldn't find any records.","何もありません（≧∇≦）",module,Wubinworks_InjectHead
"Search by keyword","キーワードで検索",module,Wubinworks_InjectHead
"records found","個のレコードを見つけました",module,Wubinworks_InjectHead
"per page","個/ページ",module,Wubinworks_InjectHead
"Filters","検索&絞り",module,Wubinworks_InjectHead
"Default View","既定のビュー",module,Wubinworks_InjectHead
"Options","オプション",module,Wubinworks_InjectHead
"options","オプション",module,Wubinworks_InjectHead
"Selected","選択済み",module,Wubinworks_InjectHead
"selected","選択済み",module,Wubinworks_InjectHead
"of "," / ",module,Wubinworks_InjectHead
